run_name,model_family,selected_feature_count,cv_balanced_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,test_balanced_accuracy,test_precision,test_recall,test_f1
baseline_logistic_regression,logistic_regression,14,0.8073912988547136,0.8383442328269914,0.8129177958446251,0.8247179552824713,0.830105212816834,0.8514851485148515,0.8431372549019608,0.8472906403940886
baseline_svc,svc,14,0.8272442583011689,0.8541183843278979,0.8375188196326409,0.8445226118627399,0.8387135341941655,0.8476190476190476,0.8725490196078431,0.8599033816425121
baseline_random_forest,random_forest,14,0.8026896861043202,0.8200800425760614,0.8400180668473352,0.8286448476468775,0.8082257293161167,0.8090909090909091,0.8725490196078431,0.839622641509434
tuned_svc,svc,14,0.8272442583011689,0.8541183843278979,0.8375188196326409,0.8445226118627399,0.8387135341941655,0.8476190476190476,0.8725490196078431,0.8599033816425121
