timestamp,chol_shift,balanced_accuracy
2026-05-08,0,0.8387135341941655
2026-05-15,15,0.8047584887613581
2026-05-22,30,0.6280487804878049
2026-05-29,45,0.5304878048780488
2026-06-05,60,0.5365853658536586
