feature,ks_statistic,p_value,drift_flag
age,0.047180428859139915,0.8793062972398774,False
trestbps,0.025037593984962407,0.9999769905197203,False
chol,0.38107344632768364,3.7648337880876355e-19,True
thalach,0.058058753473600636,0.7058224020291815,False
oldpeak,0.9078360514222361,4.779082472100237e-127,True
